raw_file,split_file,embedding_file,pred_label,pred_score,seg_index,start_sec,end_sec,smoothed_label
test_elevator.m4a,test_elevator_seg000.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg000.npy,washing_machine,0.28,0,0,5,washing_machine
test_elevator.m4a,test_elevator_seg001.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg001.npy,washing_machine,0.41,1,5,10,washing_machine
test_elevator.m4a,test_elevator_seg002.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg002.npy,elevator,0.32,2,10,15,elevator
test_elevator.m4a,test_elevator_seg003.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg003.npy,elevator,0.39,3,15,20,elevator
test_elevator.m4a,test_elevator_seg004.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg004.npy,elevator,0.31,4,20,25,elevator
test_elevator.m4a,test_elevator_seg005.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg005.npy,traffic,0.32,5,25,30,traffic
test_elevator.m4a,test_elevator_seg006.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg006.npy,washing_machine,0.36,6,30,35,washing_machine
test_elevator.m4a,test_elevator_seg007.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg007.npy,washing_machine,0.4,7,35,40,washing_machine
test_elevator.m4a,test_elevator_seg008.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg008.npy,elevator,0.35,8,40,45,elevator
test_elevator.m4a,test_elevator_seg009.wav,/Users/nazzang/Desktop/20220975/졸프/poco_project/data/test_embeddings/test_elevator/test_elevator_seg009.npy,traffic,0.32,9,45,50,traffic
